"у2";"у3";"у4"
"dailyconsumption_actual";"Витрати палива, V/сут, Факт по котельним";"V/доб"
"dailyconsumption_plan";"Витрати палива, V/сут, Добове споживання план";"V/доб"
"date";"Дата календарная";"Дата"
"deviationfromplan";"% отклонения от плана для Запорожгаз";"%"
"fld1";"Запас 1";NA
"fld2";"Запас 2";NA
"fld3";"Запас 3";NA
"fld4";"Запас 4";NA
"fld5";"Запас 5";NA
"gas_saving";"Экономия газа, м<U+00B3>/сут";"м3/доб"
"gas_substitution";"Замещение газа, м<U+00B3>/сут";"м3/доб"
"gvstemp_actual";"tгвс, °С Факт";"°С"
"makeuprate_actual";"Расход подпитки, факт м3/ч";"м3/ч"
"makeuprate_calc";"Расход подпитки, план м3/ч";"м3/ч"
"makeupwater_actual";"Расход подпитки, м3/ч Факт";"м3/ч"
"makeupwater_calc";"Расход подпитки, м3/ч, План";"м3/ч"
"makeupwater_min";"Расход подпитки, м3/ч Min";"м3/ч"
"min";"Min";"м3/ч"
"networkwater_actual";"Расход воды в сеть, м3/ч Факт";"м3/ч"
"networkwater_calc";"Расход воды в сеть, м3/ч, План";"м3/ч"
"produced_gcal";"Выработано тепла, Гкал";"Гкал"
"return_actual";"Обратка, факт, м3/ч";"м3/ч"
"return_calc";"Обратка, расчет, м3/ч";"м3/ч"
"returntemp_actual";"Температура обратки, факт";"°С"
"returntemp_calc";"Температура обратки, расчетная";"°С"
"returntemp_diff";"Обратка, разница температур";"°С"
"saving_overspending";"Витрити палива, V/сут, Економія (+)/перевитрата (-) від лінії тренда";"V/доб"
"scored_request";"Скоригована заявка";"V/доб"
"specificfuel_actual";"Удельный расход топлива, м3/Гкал Факт";"м3/Гкал"
"supply_actual";"Подача, факт, м3/ч";"м3/ч"
"supply_calc";"Подача, расчет, м3/ч";"м3/ч"
"supplycollectors_actual";"Отпуск с коллекторов, Гкал/ сут Факт";"Гкал/доб"
"supplytemp_actual";"Температура подачи, факт";"°С"
"supplytemp_calc";"Температура подачи, расчетная";"°С"
"supplytemp_diff";"Подача, разница температур";"°С"
"thvod";"Температура холодной воды";"°С"
"tnvoz";"Температура наружного воздуха";"°С"
"trans";"Расход газа на транспортировку";"V/доб"
