"id";"quest";"unit";"filia";"cases";"date"
1;"По  персоналу: штатное /факт на 1 число месяца";"чел.";"Александровский";123;"2021-12-22"
1;"По  персоналу: штатное /факт на 1 число месяца";"чел.";"Заводский";50;"2021-12-22"
1;"По  персоналу: штатное /факт на 1 число месяца";"чел.";"Коммунарский";111;"2021-12-22"
1;"По  персоналу: штатное /факт на 1 число месяца";"чел.";"Днепровский";191;"2021-12-22"
1;"По  персоналу: штатное /факт на 1 число месяца";"чел.";"Вознесеновский";109;"2021-12-22"
1;"По  персоналу: штатное /факт на 1 число месяца";"чел.";"Хортицкий";53;"2021-12-22"
1;"По  персоналу: штатное /факт на 1 число месяца";"чел.";"Шевченковский";118;"2021-12-22"
1;"По  персоналу: штатное /факт на 1 число месяца";"чел.";"total";2362;"2021-12-22"
2;"к-во работников, находящихся в  отпусках";"чел.";"Александровский";0;"2021-12-22"
2;"к-во работников, находящихся в  отпусках";"чел.";"Заводский";0;"2021-12-22"
2;"к-во работников, находящихся в  отпусках";"чел.";"Коммунарский";5;"2021-12-22"
2;"к-во работников, находящихся в  отпусках";"чел.";"Днепровский";0;"2021-12-22"
2;"к-во работников, находящихся в  отпусках";"чел.";"Вознесеновский";0;"2021-12-22"
2;"к-во работников, находящихся в  отпусках";"чел.";"Хортицкий";0;"2021-12-22"
2;"к-во работников, находящихся в  отпусках";"чел.";"Шевченковский";0;"2021-12-22"
2;"к-во работников, находящихся в  отпусках";"чел.";"total";5;"2021-12-22"
3;"к-во работников, находящихся на больничных листах";"чел.";"Александровский";0;"2021-12-22"
3;"к-во работников, находящихся на больничных листах";"чел.";"Заводский";0;"2021-12-22"
3;"к-во работников, находящихся на больничных листах";"чел.";"Коммунарский";1;"2021-12-22"
3;"к-во работников, находящихся на больничных листах";"чел.";"Днепровский";0;"2021-12-22"
3;"к-во работников, находящихся на больничных листах";"чел.";"Вознесеновский";4;"2021-12-22"
3;"к-во работников, находящихся на больничных листах";"чел.";"Хортицкий";0;"2021-12-22"
3;"к-во работников, находящихся на больничных листах";"чел.";"Шевченковский";2;"2021-12-22"
3;"к-во работников, находящихся на больничных листах";"чел.";"total";7;"2021-12-22"
4;"% работников, находящихся на больничных листах";"чел.";"Александровский";0;"2021-12-22"
4;"% работников, находящихся на больничных листах";"чел.";"Заводский";0;"2021-12-22"
4;"% работников, находящихся на больничных листах";"чел.";"Коммунарский";0.900900900900901;"2021-12-22"
4;"% работников, находящихся на больничных листах";"чел.";"Днепровский";0;"2021-12-22"
