"filia";"for_what";"limit";"fact";"deviation";"date"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";8558;8622.77;0.756835709277914;"2022-01-03"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2022-01-03"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2022-01-03"
"ФК \МТМ\ Заводського району";"виробництво тепла";5356;5435.63;1.48674383868557;"2022-01-03"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2022-01-03"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2022-01-03"
"ФК \МТМ\ Комунарського району";"виробництво тепла";12334;12429.4;0.773471704232187;"2022-01-03"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2022-01-03"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2022-01-03"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";9662;10042.8;3.94121299937904;"2022-01-03"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2022-01-03"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2022-01-03"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";17018;17639.19;3.65019391232797;"2022-01-03"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2022-01-03"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2022-01-03"
"ФК \МТМ\ Хортицького району";"виробництво тепла";9378;9683;3.25229259970143;"2022-01-03"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2022-01-03"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2022-01-03"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";6962;7073.99999999997;1.60873312266554;"2022-01-03"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2022-01-03"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2022-01-03"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6910;6950.2;0.581765557163494;"2022-01-04"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2022-01-04"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2022-01-04"
"ФК \МТМ\ Заводського району";"виробництво тепла";5356;5398.54;0.79424943988049;"2022-01-04"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2022-01-04"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2022-01-04"
"ФК \МТМ\ Комунарського району";"виробництво тепла";12334;12496.6;1.31830711853411;"2022-01-04"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2022-01-04"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2022-01-04"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";9662;9815.60000000001;1.5897329745395;"2022-01-04"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2022-01-04"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2022-01-04"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";15034;15192.83;1.05647199680725;"2022-01-04"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2022-01-04"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2022-01-04"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7978;8083;1.31611932815241;"2022-01-04"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2022-01-04"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2022-01-04"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";6335;6408.00000000023;1.15232833465233;"2022-01-04"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2022-01-04"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2022-01-04"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6372;6394.4;0.351537978656635;"2022-01-05"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2022-01-05"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2022-01-05"
"ФК \МТМ\ Заводського району";"виробництво тепла";4527;4545.68;0.412635299315234;"2022-01-05"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2022-01-05"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2022-01-05"
"ФК \МТМ\ Комунарського району";"виробництво тепла";12334;12485.8;1.23074428409276;"2022-01-05"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2022-01-05"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2022-01-05"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";9662;9901.4;2.47774787828607;"2022-01-05"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2022-01-05"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2022-01-05"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";15034;15097.65;0.42337368631109;"2022-01-05"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2022-01-05"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2022-01-05"
"ФК \МТМ\ Хортицького району";"виробництво тепла";8678;8803.00000000018;1.44042406084561;"2022-01-05"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2022-01-05"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2022-01-05"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5408;5447.99999999965;0.739644970407682;"2022-01-05"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2022-01-05"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2022-01-05"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";5368;5376.4;0.156482861400931;"2022-01-06"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2022-01-06"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2022-01-06"
"ФК \МТМ\ Заводського району";"виробництво тепла";4627;4663.2;0.782364382969547;"2022-01-06"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2022-01-06"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2022-01-06"
"ФК \МТМ\ Комунарського району";"виробництво тепла";12334;12397.6;0.515647802821495;"2022-01-06"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2022-01-06"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2022-01-06"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";9662;9819.8;1.63320223556203;"2022-01-06"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2022-01-06"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2022-01-06"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";16372;16677.1;1.86354752015641;"2022-01-06"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2022-01-06"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2022-01-06"
"ФК \МТМ\ Хортицького району";"виробництво тепла";6436;6483;0.730267246737104;"2022-01-06"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2022-01-06"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2022-01-06"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5208;5238.00000000018;0.576036866362872;"2022-01-06"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2022-01-06"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2022-01-06"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6367;6388.88;0.343646929480212;"2022-01-07"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2022-01-07"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2022-01-07"
"ФК \МТМ\ Заводського району";"виробництво тепла";4694;4737.6;0.928845334469552;"2022-01-07"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2022-01-07"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2022-01-07"
"ФК \МТМ\ Комунарського району";"виробництво тепла";12434;12663.4;1.84494129001125;"2022-01-07"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2022-01-07"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2022-01-07"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";9462;9592.2;1.3760304375396;"2022-01-07"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2022-01-07"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2022-01-07"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";16372;16639.88;1.63620816027366;"2022-01-07"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2022-01-07"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2022-01-07"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7181;7283.00000000015;1.42041498398755;"2022-01-07"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2022-01-07"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2022-01-07"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5608;5648.99999999999;0.731098430812871;"2022-01-07"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2022-01-07"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2022-01-07"
